"sample"	"patient"	"path"
"EOC779_pOme1_DNA1"	"EOC779"	"data/example/sv_data/EOC779"
"EOC779_pOvaL1_DNA1"	"EOC779"	"data/example/sv_data/EOC779"
"EOC779_pPer1_DNA1"	"EOC779"	"data/example/sv_data/EOC779"
"EOC1022_pOme1_DNA1"	"EOC1022"	"data/example/sv_data/EOC1022"
"EOC1022_pPer1_DNA1"	"EOC1022"	"data/example/sv_data/EOC1022"
"EOC667_pMes1_DNA1"	"EOC667"	"data/example/sv_data/EOC667"
"EOC667_pOme1_DNA2"	"EOC667"	"data/example/sv_data/EOC667"
"EOC863_pMes1_DNA1"	"EOC863"	"data/example/sv_data/EOC863"
"EOC863_pOva1_DNA1"	"EOC863"	"data/example/sv_data/EOC863"
"EOC148_pAdnL1_DNA1"	"EOC148"	"data/example/sv_data/EOC148"
"EOC148_pAdnL3_DNA1"	"EOC148"	"data/example/sv_data/EOC148"
"EOC148_pOvaL4_DNA1"	"EOC148"	"data/example/sv_data/EOC148"
"EOC148_pOvaL5_DNA1"	"EOC148"	"data/example/sv_data/EOC148"
"EOC914_iOme1_DNA1"	"EOC914"	"data/example/sv_data/EOC914"
"EOC914_iOvaL1_DNA1"	"EOC914"	"data/example/sv_data/EOC914"
"EOC914_iPer1_DNA1"	"EOC914"	"data/example/sv_data/EOC914"
"EOC1067_pOme1_DNA3"	"EOC1067"	"data/example/sv_data/EOC1067"
"EOC1067_pOvaR1_DNA1"	"EOC1067"	"data/example/sv_data/EOC1067"
"EOC1067_pPerR1_DNA1"	"EOC1067"	"data/example/sv_data/EOC1067"
"EOC1067_pTubL1_DNA1"	"EOC1067"	"data/example/sv_data/EOC1067"
"EOC293_pAdnL1_DNA1"	"EOC293"	"data/example/sv_data/EOC293"
"EOC293_pMes1_DNA2"	"EOC293"	"data/example/sv_data/EOC293"
"EOC293_pOvaR1_DNA2"	"EOC293"	"data/example/sv_data/EOC293"
"EOC372_iOme1_DNA1"	"EOC372"	"data/example/sv_data/EOC372"
"EOC372_iPer1_DNA1"	"EOC372"	"data/example/sv_data/EOC372"
"EOC372_pPer1_DNA1"	"EOC372"	"data/example/sv_data/EOC372"
"EOC63_pOme1_DNA1"	"EOC63"	"data/example/sv_data/EOC63"
"EOC63_pOvaR1_DNA1"	"EOC63"	"data/example/sv_data/EOC63"
"EOC124_pOvaL1_TR_DNA1"	"EOC124"	"data/example/sv_data/EOC124"
"EOC124_pOvaR1_TR"	"EOC124"	"data/example/sv_data/EOC124"
"EOC192_iOme1B_DNA2"	"EOC192"	"data/example/sv_data/EOC192"
"EOC192_iOme3A_DNA1"	"EOC192"	"data/example/sv_data/EOC192"
"EOC192_iOvaR1A_DNA1"	"EOC192"	"data/example/sv_data/EOC192"
"EOC192_pAsc1_DNA1"	"EOC192"	"data/example/sv_data/EOC192"
"EOC192_pOme1A_TR_DNA1"	"EOC192"	"data/example/sv_data/EOC192"
"EOC192_pOme2B_DNA2"	"EOC192"	"data/example/sv_data/EOC192"
"EOC192_pOvaR1A_DNA1"	"EOC192"	"data/example/sv_data/EOC192"
"EOC192_pOvaR1A_DNA3"	"EOC192"	"data/example/sv_data/EOC192"
"EOC192_pPer1A_DNA2"	"EOC192"	"data/example/sv_data/EOC192"
"EOC192_pPer2B_DNA1"	"EOC192"	"data/example/sv_data/EOC192"
"EOC1003_p2Ome1_TR_DNA"	"EOC1003"	"data/example/sv_data/EOC1003"
"EOC1003_p2OvaL1_TR_DNA"	"EOC1003"	"data/example/sv_data/EOC1003"
"EOC1003_p2OvaR1_DNA1"	"EOC1003"	"data/example/sv_data/EOC1003"
"EOC561_pPer1_DNA1"	"EOC561"	"data/example/sv_data/EOC561"
"EOC561_pPer1_DNA1_bgiseq"	"EOC561"	"data/example/sv_data/EOC561"
"EOC1091_pOme1_TR_DNA"	"EOC1091"	"data/example/sv_data/EOC1091"
"EOC1091_pOvaR1_TR_DNA"	"EOC1091"	"data/example/sv_data/EOC1091"
"EOC984_pOme1_DNA1"	"EOC984"	"data/example/sv_data/EOC984"
"EOC984_pPer1_DNA1"	"EOC984"	"data/example/sv_data/EOC984"
"EOC133_pAsc1_DNA1"	"EOC133"	"data/example/sv_data/EOC133"
"EOC133_pOme1_TR_DNA"	"EOC133"	"data/example/sv_data/EOC133"
"EOC133_pOvaL1_DNA1"	"EOC133"	"data/example/sv_data/EOC133"
"EOC523_pOme1_DNA2"	"EOC523"	"data/example/sv_data/EOC523"
"EOC523_pOvaR1_DNA2"	"EOC523"	"data/example/sv_data/EOC523"
"EOC879_p2Ome1_DNA1"	"EOC879"	"data/example/sv_data/EOC879"
"EOC879_p2OvaL1_DNA1"	"EOC879"	"data/example/sv_data/EOC879"
"EOC879_p2TubL1_DNA1"	"EOC879"	"data/example/sv_data/EOC879"
"EOC77_iOme1_DNA1"	"EOC77"	"data/example/sv_data/EOC77"
"EOC77_iOme2_DNA1"	"EOC77"	"data/example/sv_data/EOC77"
"EOC77_iPer1_DNA2"	"EOC77"	"data/example/sv_data/EOC77"
"EOC77_pAsc1_DNA1"	"EOC77"	"data/example/sv_data/EOC77"
"EOC77_pOme1_DNA3"	"EOC77"	"data/example/sv_data/EOC77"
