"sample"	"simple"	"complex"	"interchr"	"intrachr"	"compact"	"sparse"	"del1"	"del2"	"del3"	"del4"	"del5"	"dup1"	"dup2"	"dup3"	"dup4"	"ins"	"recip_inv"	"recip_trans"	"unbal_trans"	"LINE"	"del_magnitude"	"dup_magnitude"	"chrtps"	"segsize1"	"segsize2"	"segsize3"	"fiveMB1"	"fiveMB2"	"fiveMB3"	"fiveMB4"	"fiveMB5"	"osc1"	"osc2"	"osc3"	"bpArm1"	"bpArm2"	"bpArm3"	"bpArm4"	"chg1"	"chg2"	"chg3"	"chg4"	"chg5"
"1"	"EOC1003_p2Ome1_TR_DNA"	74	133	83	201	48	32	11	7	4	10	4	3	7	4	4	2	0	0	10	34	1.13282575928935	1.70029802282402	0	139	210	343	29	70	28	3	3	407	34	4	9	13	18	6	172	330	106	63	17
"2"	"EOC1003_p2OvaL1_TR_DNA"	76	147	72	216	49	36	12	10	5	14	5	3	7	5	5	0	1	0	6	29	1.11649976848693	1.69464605668368	0	122	238	351	30	66	30	4	3	425	34	3	9	12	19	6	171	344	115	56	17
"3"	"EOC1003_p2OvaR1_DNA1"	56	85	32	188	5	6	10	7	5	8	7	2	5	3	2	0	1	0	0	16	1.14839594787163	1.80066854684541	0	87	178	246	46	71	10	4	2	308	21	2	11	21	10	4	90	205	115	74	15
"4"	"EOC1022_pOme1_DNA1"	50	12	19	67	13	10	4	7	2	5	0	3	2	21	1	1	0	1	3	0	1.46973289666634	1.41404359208816	0	28	41	141	66	61	5	1	0	75	9	0	17	24	4	1	32	31	113	12	0
"5"	"EOC1022_pPer1_DNA1"	100	27	20	121	13	10	21	13	4	5	0	3	8	37	3	1	0	1	3	0	1.44482333071544	1.38200454872844	0	59	81	200	46	68	17	2	0	107	18	4	9	20	16	1	37	160	112	9	0
"6"	"EOC1067_pOme1_DNA3"	67	57	48	123	12	15	8	6	3	18	1	4	4	8	3	0	1	0	6	13	1.50603320420679	1.37538989804124	0	70	105	255	43	66	20	4	0	144	33	6	7	19	18	2	28	289	68	26	2
"7"	"EOC1067_pOvaR1_DNA1"	203	121	83	279	13	8	11	11	20	22	6	3	20	91	13	0	3	1	6	14	1.18368915820126	1.47568192163041	3	116	284	472	14	67	40	12	0	317	56	17	5	10	16	15	65	634	105	32	22
"8"	"EOC1067_pPerR1_DNA1"	57	54	46	109	13	21	6	4	3	20	2	1	5	2	5	0	1	0	8	3	1.333790039843	1.44132901479562	0	43	108	241	49	61	20	3	0	177	18	2	8	23	14	1	41	212	74	40	4
"9"	"EOC1067_pTubL1_DNA1"	78	64	77	171	20	33	6	7	5	24	1	3	7	4	4	0	1	0	11	6	1.2288134560434	1.5752405918829	0	63	220	291	41	64	19	8	1	296	34	3	8	15	18	5	103	300	97	49	7
"10"	"EOC1091_pOme1_TR_DNA"	105	104	86	270	43	62	19	13	19	11	3	3	11	6	3	1	2	0	10	1	1.2236608394248	1.66530436571942	0	114	302	409	25	60	38	7	3	444	44	8	8	13	14	11	66	338	315	87	18
"11"	"EOC1091_pOvaR1_TR_DNA"	66	111	63	223	52	78	9	7	13	6	2	2	10	5	3	0	0	1	8	0	1.21591016009561	1.74672440325802	1	89	252	340	33	67	25	5	3	395	41	6	8	18	12	8	201	360	83	17	12
"12"	"EOC124_pOvaL1_TR_DNA1"	402	88	43	484	49	35	108	67	29	28	3	5	76	64	8	0	1	0	10	4	1.59484242618017	1.51661296844505	7	273	325	540	9	36	69	19	0	339	77	37	5	5	16	20	102	859	158	12	2
"13"	"EOC124_pOvaR1_TR"	369	73	45	414	21	24	136	71	21	18	4	6	55	39	10	1	1	2	11	2	1.42256502737593	1.33690504337975	5	254	228	527	8	46	71	8	0	460	63	8	4	4	24	14	163	523	291	18	3
"14"	"EOC133_pAsc1_DNA1"	282	59	69	363	30	16	126	76	25	8	3	3	2	1	6	3	0	4	17	11	1.33443226813077	1.53767566919768	11	311	147	444	13	56	58	5	1	343	41	26	5	4	24	13	138	584	120	36	6
"15"	"EOC133_pOme1_TR_DNA"	235	75	60	314	25	20	109	54	33	8	3	1	1	2	5	2	0	5	10	6	1.38094348279069	1.52738150458643	10	256	142	419	14	56	58	4	1	356	41	15	6	5	26	9	135	482	136	42	7
"16"	"EOC133_pOvaL1_DNA1"	250	54	62	329	27	9	112	71	25	5	3	3	2	1	5	4	0	5	13	7	1.33995623989492	1.5804271335245	11	279	134	407	14	61	50	7	1	263	48	22	6	6	23	11	88	546	127	36	6
"17"	"EOC148_pAdnL1_DNA1"	551	136	160	856	47	22	183	68	32	23	9	9	155	15	20	4	2	5	21	30	1.29703972872968	1.54225688039694	3	528	532	781	5	24	55	44	5	842	114	25	5	2	13	26	170	1036	530	107	5
"18"	"EOC148_pAdnL3_DNA1"	498	141	150	783	86	43	166	58	34	22	10	8	139	14	18	1	3	3	23	32	1.32797412620594	1.52025793434161	2	492	490	753	5	22	64	36	6	737	121	26	5	1	15	25	119	1029	487	98	1
"19"	"EOC148_pOvaL4_DNA1"	398	174	121	589	23	16	123	42	25	22	9	6	121	14	19	2	1	5	18	20	1.45252313835005	1.42417029389527	4	328	352	654	7	32	70	24	0	551	97	17	5	3	16	22	112	659	476	89	5
"20"	"EOC148_pOvaL5_DNA1"	512	159	143	745	36	21	171	53	35	21	11	9	158	17	21	2	3	6	14	27	1.42769883305512	1.45565101782082	4	438	476	759	6	23	60	43	1	670	111	26	5	0	16	25	120	979	470	90	10
"21"	"EOC192_iOme1B_DNA2"	18	52	3	36	3	8	1	3	0	0	1	0	0	7	5	0	0	0	1	0	1.36662331797059	1.48489192383534	0	9	16	131	73	58	2	0	0	58	8	0	19	26	1	0	28	96	11	2	0
"22"	"EOC192_iOme3A_DNA1"	15	70	6	30	5	5	2	1	1	0	0	0	0	6	3	0	0	0	2	1	1.34094830714203	1.46966051641694	0	6	19	137	75	54	4	0	0	58	7	0	16	26	4	0	32	98	12	3	0
"23"	"EOC192_iOvaR1A_DNA1"	51	16	16	84	12	15	3	3	1	2	1	4	3	23	10	0	0	0	3	4	1.5282953429875	1.53218176250346	1	33	40	157	67	56	10	0	0	75	6	5	15	23	8	0	45	156	5	3	0
"24"	"EOC192_pAsc1_DNA1"	29	70	6	55	5	9	1	3	1	0	0	2	0	16	6	0	0	0	3	1	1.22292555182201	1.48170811948701	0	14	35	163	50	77	6	0	0	71	12	4	13	28	5	0	54	130	6	3	0
"25"	"EOC192_pOme1A_TR_DNA1"	50	13	11	80	12	18	3	3	0	5	2	1	1	26	8	0	0	0	3	2	1.42364065073391	1.48147873088825	0	23	42	155	65	61	7	0	0	68	8	4	17	23	6	0	37	152	6	3	0
"26"	"EOC192_pOme2B_DNA2"	56	12	14	78	12	18	3	3	2	4	3	1	1	27	8	0	0	0	4	2	1.53041036256728	1.47376104674439	0	25	46	162	60	65	8	0	0	73	12	4	16	22	8	0	43	151	14	4	0
"27"	"EOC192_pOvaR1A_DNA1"	48	16	11	77	12	15	3	3	0	2	1	3	3	23	10	0	0	0	3	3	1.51825774630073	1.53109999374082	0	27	38	153	67	57	9	0	0	67	7	4	15	25	6	0	39	146	8	3	0
"28"	"EOC192_pOvaR1A_DNA3"	52	11	11	81	12	15	4	3	0	2	0	2	3	24	10	0	0	0	3	3	1.51441733757235	1.53441723342453	1	29	39	153	70	51	12	0	0	61	9	4	17	21	8	0	33	156	11	3	0
"29"	"EOC192_pPer1A_DNA2"	55	21	13	102	14	33	5	3	3	4	2	2	3	21	8	0	0	0	3	3	1.3528097898891	1.54589035410868	0	35	60	173	61	61	10	1	0	112	11	3	14	20	12	0	87	154	4	3	0
"30"	"EOC192_pPer2B_DNA1"	66	25	18	122	45	36	6	3	3	3	2	1	4	28	10	0	0	1	4	4	1.10317577971524	1.89098315324781	1	51	101	184	54	65	13	0	1	153	13	3	7	26	12	1	38	113	128	38	4
"31"	"EOC293_pAdnL1_DNA1"	439	350	53	623	29	32	11	6	4	5	6	5	15	226	158	4	0	1	3	1	1.1835322906379	1.51035051091775	3	117	488	952	4	27	62	40	0	575	96	44	5	2	12	27	81	1233	230	26	0
"32"	"EOC293_pMes1_DNA2"	324	658	52	511	22	39	6	5	3	3	8	2	11	152	131	2	0	0	2	0	1.18964321131551	1.4974363815483	2	81	504	1014	5	20	58	50	0	826	93	30	5	1	13	27	228	1096	297	39	1
"33"	"EOC293_pOvaR1_DNA2"	296	508	40	422	11	23	7	2	5	3	6	1	7	158	111	0	2	1	2	1	1.17932604781416	1.48217387689817	4	81	407	918	5	26	72	30	0	520	93	39	5	2	14	25	90	1077	226	23	0
"34"	"EOC372_iOme1_DNA1"	309	104	98	362	28	35	95	16	10	20	5	7	106	10	29	2	2	2	10	4	1.35973380467891	1.49966703815508	7	225	273	527	10	43	67	13	0	421	67	15	5	4	21	16	80	553	299	68	14
"35"	"EOC372_iPer1_DNA1"	142	145	47	185	27	37	53	9	3	3	2	2	51	3	10	1	0	1	9	0	1.38574259289311	1.53305778156851	2	114	152	363	23	63	41	6	0	329	24	4	5	14	19	8	37	245	254	85	9
"36"	"EOC372_pPer1_DNA1"	182	192	54	240	20	31	67	9	7	7	1	4	64	5	14	0	0	0	8	0	1.36772478012532	1.51514495334547	1	144	214	441	16	50	60	7	0	405	49	6	5	8	20	13	75	367	274	79	8
"37"	"EOC523_pOme1_DNA2"	50	46	24	264	24	43	5	1	6	19	1	5	2	9	2	0	1	2	1	0	1.03048498101272	2.05173030276798	1	306	115	192	55	63	10	4	1	296	36	7	14	16	13	3	99	390	80	26	3
"38"	"EOC523_pOvaR1_DNA2"	37	34	22	241	11	42	4	0	6	9	0	4	1	8	1	0	0	2	2	0	1.05412239952188	1.98845340566728	0	286	98	181	62	59	8	3	1	278	22	11	15	19	9	3	100	310	109	29	2
"39"	"EOC561_pPer1_DNA1"	384	98	91	574	58	61	6	6	6	13	9	9	14	178	152	1	7	3	4	2	1.09537962666015	1.59440053951815	4	183	370	760	7	36	66	24	0	493	84	39	6	3	13	24	177	945	158	20	1
"40"	"EOC561_pPer1_DNA1_bgiseq"	279	230	63	415	40	39	4	5	3	8	5	4	8	141	110	0	4	2	4	0	1.09501300298801	1.58165162812796	4	130	291	741	7	38	69	19	0	415	65	41	6	3	16	21	99	875	166	21	0
"41"	"EOC63_pOme1_DNA1"	1314	158	150	1518	81	36	604	192	115	36	14	16	167	101	31	9	8	8	14	20	1.55303378453555	1.46848652077463	5	1096	1038	1278	4	5	32	65	27	1462	205	85	5	0	3	38	963	2231	200	10	0
"42"	"EOC63_pOvaR1_DNA1"	317	135	57	348	2	2	113	45	9	2	2	1	56	44	20	0	1	3	20	0	1.49662863401962	1.47077635693057	2	223	235	510	8	47	70	8	0	479	46	4	5	7	20	14	69	220	501	171	2
"43"	"EOC667_pMes1_DNA1"	479	61	88	518	7	5	154	51	20	4	8	4	156	56	14	1	2	11	8	2	1.46871153506613	1.45476820788337	9	295	352	623	8	33	66	24	2	413	81	39	5	5	16	20	212	942	102	2	0
"44"	"EOC667_pOme1_DNA2"	420	53	81	457	7	4	132	40	16	4	6	4	144	51	14	0	4	9	8	0	1.57816465325007	1.47498427513861	11	257	311	564	7	43	67	15	1	278	76	42	5	5	18	18	89	907	115	4	0
"45"	"EOC77_iOme1_DNA1"	74	56	21	109	2	1	7	2	1	10	1	2	9	39	3	0	1	2	1	2	1.14724945452495	1.337947872856	0	46	86	198	43	81	7	2	0	167	10	0	10	20	15	1	50	124	119	20	0
"46"	"EOC77_iOme2_DNA1"	71	26	18	111	NA	NA	3	2	1	9	1	3	5	45	3	0	1	1	0	1	1.13698719235284	1.34786069367407	0	51	69	183	51	73	8	1	0	162	11	1	15	16	14	1	92	178	12	0	0
"47"	"EOC77_iPer1_DNA2"	83	30	26	136	5	12	8	2	0	8	2	4	8	43	4	2	1	2	0	3	1.11941721685271	1.45575639815554	1	61	84	211	47	68	15	3	0	114	27	3	12	14	19	1	65	250	16	3	0
"48"	"EOC77_pAsc1_DNA1"	62	24	13	101	9	17	6	2	1	9	1	3	7	30	3	0	1	1	1	3	1.1345308957215	1.50751669155959	0	21	62	178	60	64	8	1	0	100	13	1	15	20	11	0	49	167	24	2	0
"49"	"EOC77_pOme1_DNA3"	67	20	12	131	25	46	7	1	1	9	0	2	7	39	1	0	1	1	1	3	1.07834928414536	1.35525670306668	1	29	90	197	59	63	9	2	0	92	11	7	14	19	11	2	55	227	13	2	0
"50"	"EOC779_pOme1_DNA1"	153	64	34	183	20	2	71	41	25	6	1	0	0	0	4	0	2	3	2	1	1.8287472822383	1.16420542225606	7	174	53	292	22	77	34	0	0	179	25	11	8	13	21	4	57	291	133	20	0
"51"	"EOC779_pOvaL1_DNA1"	438	51	54	502	26	4	229	123	42	10	3	2	4	4	4	1	5	9	7	3	1.63555377836394	1.23311126569677	11	468	135	551	3	37	75	18	0	217	38	48	5	2	20	19	141	907	80	8	0
"52"	"EOC779_pPer1_DNA1"	315	50	49	362	24	4	154	82	45	8	4	1	3	1	5	0	3	7	7	2	1.71484909112811	1.15834853530462	9	327	104	446	10	47	69	7	0	211	38	35	5	6	23	12	91	617	138	18	0
"53"	"EOC863_pMes1_DNA1"	36	99	43	147	17	15	3	8	6	1	1	0	6	6	1	0	0	0	5	3	1.07691013208777	2.26404283387597	0	67	183	260	61	48	15	7	2	339	13	3	15	15	13	3	58	181	134	117	17
"54"	"EOC863_pOva1_DNA1"	79	63	81	251	16	34	7	23	14	3	4	1	9	5	1	4	2	1	4	12	1.05860951258936	2.21810278482865	0	137	320	306	41	62	16	12	2	388	40	11	9	19	9	9	91	406	129	106	15
"55"	"EOC879_p2Ome1_DNA1"	123	127	87	243	48	49	5	8	10	9	2	4	15	52	8	1	0	1	9	7	1.23122809137052	1.63690660359121	1	105	285	393	29	51	43	9	1	367	57	8	8	6	24	8	78	462	158	59	26
"56"	"EOC879_p2OvaL1_DNA1"	449	129	125	596	25	33	12	18	69	74	3	10	59	157	21	2	2	2	21	8	1.22117376272998	1.5739253347176	2	154	708	715	10	30	61	30	2	798	88	16	5	3	12	26	92	657	611	171	34
"57"	"EOC879_p2TubL1_DNA1"	377	139	111	541	18	11	17	13	42	56	4	7	55	140	25	2	3	1	16	4	1.22621308885518	1.50976910663188	1	147	616	656	10	30	75	15	3	756	84	12	5	4	14	23	103	552	587	136	38
"58"	"EOC914_iOme1_DNA1"	193	147	93	328	25	22	12	9	36	67	3	1	15	34	3	2	1	0	6	39	1.33027033178212	1.51798335613544	4	116	371	443	13	63	40	16	1	464	51	16	5	10	14	17	136	522	153	94	20
"59"	"EOC914_iOvaL1_DNA1"	197	125	83	321	22	25	10	10	37	62	7	1	18	34	3	1	2	1	12	16	1.27974542911174	1.48857417113723	3	94	371	429	11	73	37	11	1	499	46	9	5	10	17	14	192	441	159	81	6
"60"	"EOC914_iPer1_DNA1"	166	158	80	299	20	24	12	6	33	48	4	1	16	31	3	2	2	0	8	17	1.30800615109333	1.46931958955626	2	89	354	434	15	61	44	13	0	478	42	12	5	10	17	14	127	477	168	93	5
"61"	"EOC984_pOme1_DNA1"	94	18	4	108	6	0	34	10	17	6	1	2	6	15	0	0	1	0	1	3	1.58289865063872	1.17640937376175	4	53	63	161	53	68	12	0	0	95	12	4	11	25	10	0	60	186	10	1	0
"62"	"EOC984_pPer1_DNA1"	89	25	7	110	3	0	32	10	15	6	1	2	6	15	0	0	1	0	1	5	1.57467302575674	1.19009263324635	3	52	62	165	55	65	13	0	0	87	14	4	13	21	12	0	56	191	11	1	0
